"Local Authority","School Type","Year Group","Year","Walk","Cycle","Scooter / Skate","Park & Stride","Driven","Bus","Taxi","Other"
"Argyll & Bute","Secondary ","S4-S6",2008,27.02,0,0,0,NA,38.01,0,NA
"Argyll & Bute","Secondary ","S4-S6",2009,142.128,NA,NA,10.962,69.93,131.922,NA,12.852
"Argyll & Bute","Secondary ","S4-S6",2010,106.032,NA,0,9.024,40.89,120.132,NA,NA
"Argyll & Bute","Secondary ","S4-S6",2011,28,0,0,6,24,97,NA,NA
"Argyll & Bute","Secondary ","S4-S6",2012,22,0,0,0,NA,41,0,NA
"Argyll & Bute","Secondary ","S4-S6",2013,19,NA,0,NA,18,67,NA,0
"Argyll & Bute","Secondary ","S4-S6",2014,98,5,0,19,75,158,0,0
"Argyll & Bute","SEN","P1-P4",2008,NA,NA,NA,NA,NA,NA,NA,NA
"Argyll & Bute","SEN","P1-P4",2009,NA,NA,NA,NA,NA,NA,NA,NA
"Argyll & Bute","SEN","P1-P4",2010,NA,NA,NA,NA,NA,NA,NA,NA
"Argyll & Bute","SEN","P1-P4",2011,NA,NA,NA,NA,NA,NA,NA,NA
"Argyll & Bute","SEN","P1-P4",2012,NA,NA,NA,NA,NA,NA,NA,NA
"Argyll & Bute","SEN","P1-P4",2013,NA,NA,NA,NA,NA,NA,NA,NA
"Argyll & Bute","SEN","P1-P4",2014,NA,NA,NA,NA,NA,NA,NA,NA
"Argyll & Bute","SEN","P5-P7",2008,NA,NA,NA,NA,NA,NA,NA,NA
"Argyll & Bute","SEN","P5-P7",2009,NA,NA,NA,NA,NA,NA,NA,NA
"Argyll & Bute","SEN","P5-P7",2010,NA,NA,NA,NA,NA,NA,NA,NA
"Argyll & Bute","SEN","P5-P7",2011,NA,NA,NA,NA,NA,NA,NA,NA
"Argyll & Bute","SEN","P5-P7",2012,NA,NA,NA,NA,NA,NA,NA,NA
"Argyll & Bute","SEN","P5-P7",2013,NA,NA,NA,NA,NA,NA,NA,NA
"Argyll & Bute","SEN","P5-P7",2014,NA,NA,NA,NA,NA,NA,NA,NA
"Argyll & Bute","SEN","S1-S3",2008,NA,NA,NA,NA,NA,NA,NA,NA
"Argyll & Bute","SEN","S1-S3",2009,NA,NA,NA,NA,NA,NA,NA,NA
"Argyll & Bute","SEN","S1-S3",2010,NA,NA,NA,NA,NA,NA,NA,NA
"Argyll & Bute","SEN","S1-S3",2011,NA,NA,NA,NA,NA,NA,NA,NA
"Argyll & Bute","SEN","S1-S3",2012,NA,NA,NA,NA,NA,NA,NA,NA
"Argyll & Bute","SEN","S1-S3",2013,NA,NA,NA,NA,NA,NA,NA,NA
"Argyll & Bute","SEN","S1-S3",2014,NA,NA,NA,NA,NA,NA,NA,NA
"Argyll & Bute","SEN","S4-S6",2008,NA,NA,NA,NA,NA,NA,NA,NA
"Argyll & Bute","SEN","S4-S6",2009,NA,NA,NA,NA,NA,NA,NA,NA
